,Game Name,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Links
15,Lost Records: Bloom & Rage,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
16,The Legend of Heroes: Trails through Daybreak II,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
17,Atomfall,28/2/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
18,Wanderstop,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
19,Schedule I,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
20,R.E.P.O.,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/r-e-p-o/
21,inZOI,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
22,Grimoire Groves,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
23,Crashlands,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
24,Crashlands 2,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
25,Mandragora: Whispers of the Witch Tree,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/mandragora-whispers-of-the-witch-tree/
26,Clair Obscur: Expedition 33,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,False,True,https://gamyverse.com/reviews/clair-obscur-expedition-33/
27,Assassin's Creed Shadows,14/4/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,
28,Diddy Kong Racing,14/4/2025,True,False,Nintendo 64,Office,True,False,False,False,https://gamyverse.com/retro-games/diddy-kong-racing/
29,Donkey Kong Country™ Returns HD,14/4/2025,True,False,Nintendo Switch,Office,True,False,False,False,
30,"Yes, Your Grace: Snowfall",16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/yes-your-grace-2-snowfall/
31,Survival Machine,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/?post_type=reviews&p=21969&preview=true
32,RoadCraft,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
33,The Precinct,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/the-precinct/
34,Elden Ring: Nightreign,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/elden-ring-nightreign/
35,DOOM: The Dark Ages,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/?post_type=reviews&p=30577&preview=true
36,Deliver At All Costs,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/deliver-at-all-costs/
37,Blue Prince,16/5/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/blue-prince/
38,Tinkerlands,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,False,
39,Stellar Blade,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/stellar-blade/
40,Rematch,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/?post_type=reviews&p=35782&preview=true
41,JDM: Japanese Drift Master,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/jdm-japanese-drift-master/
42,Gex Trilogy,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
43,FBC: Firebreak,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/fbc-firebreak/
44,Dune: Awakening,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/dune-awakening-finalize/
45,Deltarune,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/deltarune/
46,Crime Simulator,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
47,The Alters,20/6/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
48,Mario Kart World,26/6/2025,True,False,Nintendo Switch,Office,True,False,False,False,
49,Neon Abyss 2,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/neon-abyss-2/
50,The Drifter,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,True,False,False,False,
51,Wildgate,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/wildgate/
52,Wuchang: Fallen Feathers,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/wuchang-fallen-feathers/
53,Killing Floor 3,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/killing-floor-3/
54,Grounded 2,30/7/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,
55,Donkey Kong Bananza,30/7/2025,True,False,Nintendo Switch 2,Office & Marzia's house (2 copies),False,True,False,False,https://gamyverse.com/reviews/donkey-kong-bananza/
56,Metal Gear Solid Δ: Snake Eater,16/9/2025,False,True,PC (Steam),reviewteamthegamessphere,False,False,True,True,https://gamyverse.com/reviews/metal-gear-solid-%ce%b4-snake-eater/
57,Arena Breakout: Infinite,16/9/2025,False,True,PC (Steam),reviewteamthegamessphere,False,True,False,False,https://gamyverse.com/reviews/arena-breakout-infinite/
