AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo,date_appended
3228580,Stolen Realm Survivors,3045,"Action, Indie, RPG","Single-player, Multi-player, Co-op, Online Co-op, Full controller support, Steam Cloud, Family Sharing","Indie, Role-playing (RPG)","Action, Fantasy",,True,Stolen Realm Survivors,"7 May, 2026",2026-05-07T00:00:00,,0,0,,Burst2Flame Games,True,Burst2Flame Games,"{'original_release_date': 'May 07, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3275050,Ex Sanguis,2520,"Strategy, Early Access","Single-player, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Playable without Timed Input, Stereo Sound, Surround Sound, Family Sharing",Strategy,Fantasy,roguelite,True,,"21 May, 2026",2026-05-21T00:00:00,https://www.youtube.com/watch?v=HWd1XgNhKFY,3496,111,,Lightbulb Crew,True,Firesquid,"{'original_release_date': 'May 21, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3276050,SpaceCraft,47432,"Adventure, Indie, Massively Multiplayer, Simulation, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Family Sharing",Indie,Non-fiction,,True,SpaceCraft,"20 May, 2026",2026-05-20T00:00:00,,0,0,,Shiro Games,True,Shiro Games,"{'original_release_date': 'May 17, 2020', 'original_platforms': ['Web browser'], 'ports': []}",
3277170,Chubby Story,2142,"Adventure, Casual, Indie, Simulation","Single-player, Steam Achievements, Adjustable Text Size, Custom Volume Controls, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Touch Only Option, Partial Controller Support, Steam Cloud, Stats, Family Sharing",,,,True,Chubby Story,"4 May, 2026",2026-05-04T00:00:00,,0,0,,WPT NSFW,True,WPT NSFW,{},
3277880,Warped Universe,1115,"Action, Indie, Strategy, Free To Play, Early Access","Single-player, In-App Purchases, Partial Controller Support","Adventure, Indie, Shooter, Strategy, Tactical, Turn-based strategy (TBS)","Action, Science fiction","4 player co-op, blockchain, flight, nextfest october 2025, nft, online co-op, pve, real-time combat, realtime 3d, science-fantasy, space, steam, tactical turn-based combat, turn-based tactics",True,,"6 May, 2026",2026-05-06T00:00:00,https://www.youtube.com/watch?v=tSkswwklj5I,1773,136,,Warped Games,True,Warped Games,"{'original_release_date': 'May 06, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3341000,Thick As Thieves,11537,"Action, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Captions available, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Family Sharing","Indie, Shooter, Simulator","Action, Stealth",immersive sim,True,Thick As Thieves,"20 May, 2026",2026-05-20T00:00:00,https://www.youtube.com/watch?v=Fg_EZZgGH5U,57315,1053,,OtherSide Entertainment,True,Megabit Publishing,"{'original_release_date': 'May 20, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': [{'platform': 'PlayStation 5', 'release_date': '2026'}, {'platform': 'Xbox Series X|S', 'release_date': '2026'}]}",
3404260,Dead as Disco,47137,"Action, Indie, Early Access","Single-player, Multi-player, Full controller support, Family Sharing","Arcade, Indie",,high score,True,Dead as Disco,"5 May, 2026",2026-05-05T00:00:00,,0,0,,"Brain Jar Games, Inc.",True,"Brain Jar Games, Inc.","{'original_release_date': 'Feb 27, 2023', 'original_platforms': ['Playdate'], 'ports': []}",
3412160,The House Always Wins,1326,"Casual, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Cloud, Family Sharing","Card & Board Game, Indie, Strategy",,"ai-generated concepts, casino, deckbuilder, roguelike deckbuilder, turn-based combat",True,,"21 May, 2026",2026-05-21T00:00:00,https://www.youtube.com/watch?v=1ys_hEwakJE,5,2,,Toxic Studio,True,"Toxic Studio, Polden Publishing","{'original_release_date': '2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3429890,Devil of the Plague,1945,"Action, Adventure, Indie, Strategy, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Partial Controller Support, Steam Cloud, Family Sharing","Adventure, Fighting, Indie, Strategy","Action, Horror, Mystery, Survival","4 player co-op, atmospheric, psychological horror",True,Devil of the Plague,"1 May, 2026",2026-05-01T00:00:00,https://www.youtube.com/watch?v=6krcwcrWeGc,91176,1078,,SoulByte Games,True,SoulByte Games,"{'original_release_date': 'May 01, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3432650,??,1445,"Adventure, Indie","Single-player, Family Sharing",,,,True,追曙ZHUISHU,"13 May, 2026",2026-05-13T00:00:00,,0,0,,悄语灯,True,"悄语灯, Paras Games",{},
3672400,Farever,21306,"Action, Adventure, RPG, Early Access","Single-player, Multi-player, MMO, Co-op, Online Co-op, Full controller support, Family Sharing","Adventure, Role-playing (RPG)",Action,,True,Farever,"6 May, 2026",2026-05-06T00:00:00,https://www.youtube.com/watch?v=NgiXBZMmCik,63379,139,,Shiro Games,True,Shiro Games,"{'original_release_date': 'May 06, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3693650,Thrifty Business,14341,"Casual, Simulation","Single-player, Steam Achievements, Camera Comfort, Playable without Timed Input, Stereo Sound, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Simulator",Business,"cozy, store management",True,,"18 May, 2026",2026-05-18T00:00:00,https://www.youtube.com/watch?v=Ckw-Dk3I4qg,1545,141,,Spellgarden Games,True,Spellgarden Games,"{'original_release_date': 'May 18, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
3722330,Shift At Midnight,18798,"Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Adjustable Text Size, Custom Volume Controls, Stereo Sound, Family Sharing","Adventure, Indie, Simulator",,ai-generated voices,True,,"28 May, 2026",2026-05-28T00:00:00,,0,0,,Bun Muen,True,Kwalee,"{'original_release_date': 'Oct 25, 2024', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}",
