AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,ScrapingError,Developers,IsFullyProcessed,Publishers,ReleaseInfo
4429870,There's Nothing Down There,1202,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie",Horror,"short game, submarine, underwater",True,,"4 Jun, 2026",2026-06-04T00:00:00,https://www.youtube.com/watch?v=tgG8C9Ak8Ug,176752,4509,,Tim Trankle,True,Tim Trankle,"{'original_release_date': 'Jun 04, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1805110,Solarpunk?,71688,"Adventure, Indie, Simulation","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Family Sharing","Adventure, Indie, Simulator","Sandbox, Survival",nextfest february 2025,True,Solarpunk,"8 Jun, 2026",2026-06-08T00:00:00,https://www.youtube.com/watch?v=7Zhfg938Bt8,3070,77,,Cyberwave,True,rokaplay,"{'original_release_date': 'Jun 08, 2026', 'original_platforms': ['Nintendo Switch 2', 'PC (Microsoft Windows)', 'PlayStation 5', 'Xbox Series X|S'], 'ports': []}"
2169930,R-Type Tactics I ? II Cosmos,1975,"Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Family Sharing","Strategy, Turn-based strategy (TBS)","Action, Science fiction",crowdfunding - kickstarter,True,R-Type Tactics I • II Cosmos,"18 Jun, 2026",2026-06-18T00:00:00,https://www.youtube.com/watch?v=epUrw_1-41s,512,1,,Granzella Inc.,True,"NIS America, Inc.","{'original_release_date': 'Mar 12, 2026', 'original_platforms': ['Nintendo Switch', 'PlayStation 4', 'PlayStation 5', 'Xbox Series X|S'], 'ports': [{'platform': 'Nintendo Switch', 'release_date': 'Jun 18, 2026'}, {'platform': 'PC (Microsoft Windows)', 'release_date': 'Jun 18, 2026'}, {'platform': 'PlayStation 4', 'release_date': 'Jun 18, 2026'}, {'platform': 'PlayStation 5', 'release_date': 'Jun 18, 2026'}, {'platform': 'Xbox Series X|S', 'release_date': 'Jun 18, 2026'}]}"
2679100,Witchspire,21643,"Adventure, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Custom Volume Controls, Adjustable Difficulty, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Partial Controller Support, Steam Cloud, Family Sharing","Adventure, Role-playing (RPG)","Fantasy, Open world, Sandbox, Survival",open world survival craft,True,,"10 Jun, 2026",2026-06-10T00:00:00,https://www.youtube.com/watch?v=ZUwe2bTmQ2U,12489,382,,Envar Games,True,Envar Games,"{'original_release_date': 'Jun 10, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3681780,WinMon,2871,,"Single-player, Steam Achievements, Custom Volume Controls, Keyboard Only Option, Mouse Only Option, Save Anytime, Family Sharing",Indie,,,True,Tiny Gunmon,"1 Jun, 2026",2026-06-01T00:00:00,https://www.youtube.com/watch?v=vib-tA5BDDc,783,17,,IndieLab,True,"IndieLab, Ngoc",{}
247970,Korea. IL-2 Series,3170,"Action, Simulation, Strategy","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Full controller support, VR Supported, Camera Comfort, Adjustable Difficulty, Playable without Timed Input, Stereo Sound, Surround Sound, Includes level editor, HDR available, Family Sharing",,,,True,,Q2 2026,2026-06-30T00:00:00,,0,0,, 1C Game Studios,True,FOR-GAMES CR LTD,{}
672890,Sparkball,2330,"Action, Adventure, Indie, Sports, Strategy, Free To Play","Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Partial Controller Support, Stats, Family Sharing","Adventure, Hack and slash/Beat 'em up, Indie, MOBA, Sport, Strategy","Action, Comedy, Science fiction","brawler, esport, football, soccer",True,Circuits and Shields,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=yDJhxJCQ1XY,597,114,,Opti Games,True,Opti Games,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1091870,Theropods,1564,Adventure,"Single-player, Family Sharing","Adventure, Point-and-click, Puzzle",,"alien protagonist, dinosaurs, female protagonist, graphic adventure, nextfest june 2025, pixel art, pixel art game, pixel graphics, pixelated, retro graphics",True,Theropods,June 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=jGD90I1uH9U,45606,3158,,Lost Token,True,Dionous Games,"{'original_release_date': 'Jul 23, 2026', 'original_platforms': ['Mac', 'PC (Microsoft Windows)'], 'ports': []}"
1167820,Airport Contraband,4964,"Casual, Indie, Simulation","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Simulator",Action,"airport management, job simulator, roguelike",True,Airport Contraband,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=MeK3hw1DXoM,8222,65,,"DRAGO entertainment, Titanite Games S.A.",True,DRAGO entertainment,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1444080,Dewdrop Dynasty,1790,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie, Platform","Action, Comedy, Fantasy","controller support, crab, dinosaurs, exploration, family friendly, insects, metroidvania, pixel graphics",True,Dewdrop Dynasty,June 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=BZx9IgNk2s4,16803,445,,Goodgis,True,Firith Studio,"{'original_release_date': 'Jul 21, 2026', 'original_platforms': ['Linux', 'PC (Microsoft Windows)'], 'ports': []}"
1473260,Black Gold: Oil Drilling Simulator,3434,"Action, Indie, Simulation","Single-player, Steam Achievements, Family Sharing",,,,True,"Black Gold -Wild West Simulator, Expand & Build your Company",Q2 2026,2026-06-30T00:00:00,,0,0,,CreativeForge Games,True,CreativeForge Games,{}
1620420,Redemption of the Damned,5769,"Action, Adventure, Indie","Single-player, Family Sharing","Adventure, Indie","Action, Horror","monsters, mythology",True,Redemption of the Damned,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=m98y_iqkQ9U,2320,42,,MIROWIN,True,Blowfish Studios,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1648360,Luminary,4636,"Action, Adventure, Indie, RPG, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG)","Action, Open world",cross-platform multiplayer,True,Luminary,Q2 2026,2026-06-30T00:00:00,,0,0,,Refractive Entertainment,True,Refractive Entertainment,"{'original_release_date': 'Q2 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
1742440,COP BASTARD,2250,"Action, Indie","Single-player, Steam Achievements, Custom Volume Controls, Stereo Sound, Family Sharing","Indie, Shooter","Action, Horror","crime, gore, looter, pvp, retro, violent",True,Cop Bastard,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=QlpNUxtGFCw,366,25,,targim.,True,targim.,{}
1818660,Kalyskah,6117,"Action, Adventure, Indie, RPG, Early Access","Single-player, Steam Achievements, Full controller support, Family Sharing","Adventure, Indie, Role-playing (RPG)","Action, Erotic, Fantasy, Open world, Romance, Stealth","ancient civilization, combat, exploration, nudity, sexual content, vampire",True,Kalyskah,Q2 2026,2026-06-30T00:00:00,https://www.youtube.com/watch?v=3NmyRpOGM1Y,26934,116,,Nobre Lobo,True,Nobre Lobo,{}
