AppId,Name,FollowerCount,Genres,Categories,IGDB_Genres,IGDB_Themes,IGDB_Keywords,ExactMatch,ScrapedName,ReleaseDate,ParsedDate,YoutubeURL,YoutubeViewCount,YoutubeLikeCount,Developers,IsFullyProcessed,Publishers,ReleaseInfo
3413800,Hotel Tales,4314,"Adventure, Casual, RPG","Single-player, Steam Achievements, Family Sharing","Adventure, Role-playing (RPG)",Erotic,,True,Hotel Tales,January 2026,2026-01-31T00:00:00,,0,0,TopHouse Studio,True,TopHouse Publishing,"{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3419520,Quarantine Zone: The Last Check,62397,"Indie, Simulation, Strategy","Single-player, Family Sharing","Indie, Simulator, Strategy","Action, Sandbox, Science fiction","checkpoints, nextfest october 2025, post-apocalyptic, zombie virus",True,Quarantine Zone: The Last Check,"12 Jan, 2026",2026-01-12T00:00:00,https://www.youtube.com/watch?v=NoQDA0GgXFo,1450,17,Brigada Games,True,Devolver Digital,"{'original_release_date': 'Jan 12, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3440390,Drunkard Simulator,1170,"Action, Adventure, Indie, RPG, Simulation, Early Access","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Custom Volume Controls, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Steam Cloud, Family Sharing","Adventure, Indie, Role-playing (RPG), Simulator",Action,"ai-generated music, ai-generated sound effects, ai-generated text, ai-generated voices, nextfest october 2025, steam achievements",True,Drunkard Simulator,January 2026,2026-01-31T00:00:00,,0,0,PostHuman Interactive,True,PostHuman Interactive,"{'original_release_date': 'Jan 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3470560,Millennium Dream,3749,"Action, Adventure, Casual, Simulation","Single-player, Steam Cloud, Family Sharing",Adventure,Action,"ai-generated artwork, liminal space, nextfest june 2025",True,Millennium Dream,January 2026,2026-01-31T00:00:00,https://www.youtube.com/watch?v=cj3-IeVP1zg,3638,144,LucidDreamLab,True,LucidDreamLab,{}
3499220,Gamer Stop Simulator,1690,"Casual, Indie, Simulation, Early Access","Single-player, Family Sharing","Indie, Simulator",,"ai-generated artwork, nextfest june 2025",True,Gamer Stop Simulator,"12 Jan, 2026",2026-01-12T00:00:00,,0,0,Red Axe Games,True,Red Axe Games,"{'original_release_date': 'Jan 12, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3597000,Umbranomicon,1936,"Adventure, Casual, RPG","Single-player, Steam Achievements, Family Sharing",,,,True,Umbranomicon,January 2026,2026-01-31T00:00:00,,0,0,Pleasure Studio,True,TopHouse Publishing,{}
3614160,Isekai Adventurer Guild,1613,"Adventure, Indie, Simulation, Strategy, Early Access","Single-player, Steam Achievements, Steam Cloud, Family Sharing","Adventure, Indie, Simulator, Strategy",,"ai-generated artwork, nextfest june 2025",True,Isekai Adventurer Guild,"12 Jan, 2026",2026-01-12T00:00:00,,0,0,Beard Bear,True,Beard Bear,{}
3618390,Gamblers Table,3388,"Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Full controller support, Color Alternatives, Custom Volume Controls, Mouse Only Option, Save Anytime, Touch Only Option, Steam Cloud, Family Sharing","Indie, Point-and-click, Simulator, Strategy",Comedy,"automation, clicker, idle, incremental",True,Gamblers Table,"11 Jan, 2026",2026-01-11T00:00:00,https://www.youtube.com/watch?v=bT6jJfFzDJg,1736,26,"greenpixels, Bossforge",True,"greenpixels, Bossforge","{'original_release_date': 'Mar 21, 2025', 'original_platforms': ['Linux', 'PC (Microsoft Windows)', 'Web browser'], 'ports': [{'platform': 'Linux', 'release_date': 'Jan 11, 2026'}, {'platform': 'PC (Microsoft Windows)', 'release_date': 'Jan 11, 2026'}]}"
3639650,Kotama and Academy Citadel,4604,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud, Family Sharing","Adventure, Indie, Platform","Action, Science fiction","anime, exploration",True,Kotama and Academy Citadel,"14 Jan, 2026",2026-01-14T00:00:00,https://www.youtube.com/watch?v=B6x66b8vppE,1294,24,Atomstring Games,True,"2P Games, Atomstring Games","{'original_release_date': 'Jan 15, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
3679930,Factory Planner,1311,"Casual, Indie, Simulation, Strategy, Early Access","Single-player, Family Sharing","Indie, Simulator, Strategy",,,True,Factory Planner,"18 Jan, 2026",2026-01-18T00:00:00,,0,0,Lebleby Games,True,Red Axe Games,"{'original_release_date': 'Jan 16, 2026', 'original_platforms': ['PC (Microsoft Windows)'], 'ports': []}"
